Name,Manufacturer,Calories,Carbo,Year
All-Bran,K,70,7,2015
Apple Cinnamon Cheerios,G,110,10.5,2016
Bran Flakes,P,90,13,2019
Cheerios,G,110,17,2020
Cinnamon Toast Crunch,G,120,13,2015
Cocoa Puffs,G,110,12,2015
Corn Flakes,K,100,21,2016
Crispy Wheat & Raisins,G,100,11,2016
Frosted Flakes,K,110,14,2019
Frosted Mini-Wheats,K,100,14,2020
Fruity Pebbles,P,110,13,2019
Golden Crisp,P,100,11,2018
Grape-Nuts,P,110,17,2016
Honey Nut Cheerios,G,110,11.5,2015
Honey-comb,P,110,14,2015
Just Right Crunchy  Nuggets,K,110,17,2016
Lucky Charms,G,110,12,2017
Nut&Honey Crunch,K,120,15,2020
Nutri-Grain Almond-Raisin,K,140,21,2019
Raisin Bran,K,120,14,2020
Rice Krispies,K,110,22,2020
Special K,K,110,16,2016
Wheaties,G,100,17,2016